VideoId,PhoneId,Phone  Model [Reference Table],Url,Related Phones,CategoryId
43,143,HTC 8X,http://www.youtube.com/watch?v=lZB6i-xHZnw,"Lumia 800,Lumia 610,Lumia 510,Lumia 710,Omnia W,HTC One X,One X+,Lumia 920,Nexus 4,Optimus 4X HD,Lumia 820",3
44,144,HTC 8X,http://www.youtube.com/watch?v=x8ygKpxK_2o,,4
45,145,Ativ S,http://www.youtube.com/watch?v=tiuPzWlMjx8,"Lumia 800,Lumia 610,Lumia 510,Lumia 710,Omnia W,HTC One X,One X+,Lumia 920,Nexus 4,Galaxy S III,Optimus 4X HD,Lumia 820",3
46,146,Optimus G,http://www.youtube.com/watch?v=oxtX11kdyKg,,2
47,147,Xolo X900,http://www.youtube.com/watch?v=TGNaiWBrSb0,"Xolo A700,Micromax A100,A110,Aqua 5.0",1
48,148,Galaxy Note 2,http://www.youtube.com/watch?v=ztzxThhFG8I,,4
49,149,Galaxy Note 2,http://www.youtube.com/watch?v=SmmT1n2XV-E,,4
50,150,Galaxy Note 2,http://www.youtube.com/watch?v=ldW9UqtdSJw,,4
51,151,Galaxy Note 2,http://www.youtube.com/watch?v=utpU3zBMI9Q,,5
52,152,iPhone 5,http://www.youtube.com/watch?v=utpU3zBMI9Q,,5
53,153,Galaxy Camera,http://www.youtube.com/watch?v=JjnqfvXuXqI,,3
54,154,Note 2,http://www.youtube.com/watch?v=RXq-GhgDow8,,2
55,155,iPhone 5,http://www.youtube.com/watch?v=1aHgs28puRk,,1
56,156,Xperia Tipo Dual,http://www.youtube.com/watch?v=w-x-jzILG-c,"Xperia P,Xperia U,Xperia Go,Galaxy Nexus,Xperia Tipo Dual,Xperia Tipo,Xperia Miro,Lumia 510",1
57,157,iPhone5,http://www.youtube.com/watch?v=1fPsI7wl9l0,,1
58,158,iPhone 5,http://www.youtube.com/watch?v=CwlAvO25KNU,,2
59,159,iPhone 5,http://www.youtube.com/watch?v=mrKIwnP-VEw,,3
60,160,Xperia Tipo Dual,http://www.youtube.com/watch?v=YKmj2TT8aG4,,2
61,161,Xperia Tipo,http://www.youtube.com/watch?v=qtkXY1QlDPs,"Xperia P,Xperia U,Xperia Go,Galaxy Nexus,Xperia Tipo,Xperia Miro,Xperia P,Lumia 820,Lumia 510",6
62,162,Galaxy Note 10.1,http://www.youtube.com/watch?v=q9OMTDspsdk,"Apple iPad,Nexus 7,Galaxy Note 10.1,Galaxy Tab 310,Nexus 10",8
63,163,Galaxy Note 10.1,http://www.youtube.com/watch?v=cDLXRUUZN8Y,,6
64,164,Asus padfone ,http://www.youtube.com/watch?v=1LK-dtiJ72Q,"Apple iPad,Nexus 7,Galaxy Note 10.1,Asus Padfone 2",1
65,165,iPhone 4S,http://www.youtube.com/watch?v=wff8-tsoYOw,,4
66,166,iPhone 4,http://www.youtube.com/watch?v=wff8-tsoYOw,,4
67,167,iPhone 3GS,http://www.youtube.com/watch?v=wff8-tsoYOw,,4
68,168,iPhone 3G,http://www.youtube.com/watch?v=wff8-tsoYOw,,4
69,169,iPhone ,http://www.youtube.com/watch?v=wff8-tsoYOw,,4
70,170,Galaxy Beam,http://www.youtube.com/watch?v=ByHMdtpYNH4,,6
71,171,Note 10.1 aka Note 800,http://www.youtube.com/watch?v=DgfiOM9xUBE,,2
72,172,Xperia Tipo,http://www.youtube.com/watch?v=jNXpwYoYgpk,,2
73,173,Galaxy Beam,http://www.youtube.com/watch?v=RLj9GMgY2sk,"Galaxy S III,Galaxy Note 2,Galaxy Note,One X,One X+,Optimus 4X HD",1
74,174,Lumia 820,http://www.youtube.com/watch?v=PSifd_F0b84,,3
75,175,Lumia 920 ,http://www.youtube.com/watch?v=TQZhatyVFpc,,3
76,176,Micromax A100,http://www.youtube.com/watch?v=WLtnTQu63_A,"A110,A90,Note 2,Note,Aqua 5.0",2
77,177,Zync Z999+,http://www.youtube.com/watch?v=knXjx2yR5NA,"MicroMax Funbook,Nexus 7,Galaxy Tab 2 310",6
78,178,Micromax A90,http://www.youtube.com/watch?v=-AwgSL6lTUY,"A110,A100,Note 2,Note,Aqua 5.0",1
79,179,Asha 311 ,http://www.youtube.com/watch?v=pr8ClEgEQX4,"Asha 201,Asha 303,Asha 300,Asha 200,Galaxy Ace Duos,Omnia W",2
80,180,Razr Maxx,http://www.youtube.com/watch?v=JsgdQf_HsA0,"Galaxy S III,Galaxy Note 2,Galaxy Note,One X,One X+,Optimus 4X HD,Razr Maxx",6
81,181,Atrix 2,http://www.youtube.com/watch?v=VmGYY5t18q0,"Galaxy S III,Galaxy Note 2,Galaxy Note,One X,One X+,Optimus 4X HD,Razr Maxx,Galaxy S2",8
82,182,Optimus 4X HD,http://www.youtube.com/watch?v=b-FeSZjC2hw,,8
83,183,Motorola Razr Maxx,http://www.youtube.com/watch?v=75fRPFtLaQs,"Galaxy S III,Galaxy Note 2,Galaxy Note,One X,One X+,Optimus 4X HD,Razr",8
84,184,Nexus 7,http://www.youtube.com/watch?v=Jz5CJPqAsYw,"Apple iPad,Nexus 10,Galaxy Note 10.1,Micromax FunBook,Galaxy Tab 2,iPad Mini",2
85,185,Motorola Razr Maxx,http://www.youtube.com/watch?v=UYxWhfHE6zI,,1
86,186,Galaxy Tab 2 ,http://www.youtube.com/watch?v=18Ev2-MPmmI,,1
87,187,Optimus 4X HD,http://www.youtube.com/watch?v=i5kupqzigMw,"HTC One X,HTC One X+,Galaxy SIII ,Optimus 3D Max,Nexus 4,Lumia 920,HTC 8X,iPhone 5,Galaxy Nexus,Optimus G,Lumia 820",2
88,188,Optimus 4X HD,http://www.youtube.com/watch?v=jCfy-1XSqMk,,1
89,189,Omnia W,http://www.youtube.com/watch?v=8eSfPKa84r8,,8
90,190,Nokia 603,http://www.youtube.com/watch?v=Nc91X18sWw8,"Nokia 808,Nokia 700,Nokia 600",8
91,191,Xolo X900,http://www.youtube.com/watch?v=Iybx7w1yYwI,,8
92,192,Galaxy Tab 2 ,http://www.youtube.com/watch?v=nI3_EnvmrOk,,8
93,193,LG Optimus 3D Max,http://www.youtube.com/watch?v=v8USDob8SoQ,"Optimus 4X HD,Optimus 3D,Razr,Razr Maxx,Galaxy S II,Galaxy SIII,HTC One X,Optimus Vu",8
94,194,LG Optimus 3D Max,http://www.youtube.com/watch?v=05Re46PciQg,,8
95,195,Galaxy Ace Duos,http://www.youtube.com/watch?v=AAkaqH8J8fM,"Micromax A110,Micromax A100,Micromax A90,Intex Aqua",2
96,196,Razr Maxx,http://www.youtube.com/watch?v=kQyfysr9mLo,,2
97,197,Galaxy S III,http://www.youtube.com/watch?v=Tz__IU0rNHQ,,2
98,198,Optimus 3D Max,http://www.youtube.com/watch?v=bIDYUBT3RXQ,,2
99,199,Optimus 4X HD,http://www.youtube.com/watch?v=A3eWzqq2lVo,,2
100,200,Optimus VU,http://www.youtube.com/watch?v=SM4OKDHv-SE,,2
101,201,Nokia 808,http://www.youtube.com/watch?v=VLxe3R1et34,"Galaxy Camera,Nokia 603,Lumia 920,Lumia 820",2
102,202,Asha 311 ,http://www.youtube.com/watch?v=Tp0LiStHMCw,,1
103,203,Galaxy S III,http://www.youtube.com/watch?v=8uPlnxtKOY4,,5
104,204,Galaxy Nexus,http://www.youtube.com/watch?v=8uPlnxtKOY4,,5
105,205,Galaxy S III,http://www.youtube.com/watch?v=r7CLDt8NmUs,,2
106,206,Galaxy Tab 2,http://www.youtube.com/watch?v=F1mBB-1_sQg,"Apple iPad,Nexus 10,Galaxy Note 10.1,Micromax FunBook,Nexus 7,iPad Mini",2
107,207,Galaxy S III,http://www.youtube.com/watch?v=uiP5MIxGOIo,,3
108,208,Galaxy S III,http://www.youtube.com/watch?v=IFpLi116jcE,,4
109,209,Xolo X900,http://www.youtube.com/watch?v=mAzfEnpmYy0,,2
110,210,Galaxy Tab 2,http://www.youtube.com/watch?v=z3ioPiWLgYw,,3
111,211,Micromax Funbook,http://www.youtube.com/watch?v=UjFAPARSwD4,,2
112,212,HTC One S,http://www.youtube.com/watch?v=yDnbRfE0mxY,,2
113,213,HTC ONE X,http://www.youtube.com/watch?v=1IoPklqtXSw,,1
114,214,HTC One X,http://www.youtube.com/watch?v=kBvZ3R6tvq0,,2
115,215,Apple iPad 3,http://www.youtube.com/watch?v=Qy8__LBrP7c,,2
116,216,LG Optimus 4X HD,http://www.youtube.com/watch?v=xChiiVXJtQI,,3
117,217,LG Optimus VU,http://www.youtube.com/watch?v=E3kHTYIjDGE,,3
118,218,Asus padfone ,http://www.youtube.com/watch?v=UAI_06NeTOQ,,3
119,219,HTC One X ,http://www.youtube.com/watch?v=UBQ8JIpYUSk,,3
120,220,LG Optimus 4X HD,http://www.youtube.com/watch?v=gM_5d4YijmA,,3
121,221,Optimus L3,http://www.youtube.com/watch?v=QHc3kuuMN_c,"Micromax A110,Micromax A100,Micromax A90,Intex Aqua,Optimus L5,Optimus L7",3
122,222,Optimus L5,http://www.youtube.com/watch?v=GrnUCz9Ccy4,"Micromax A110,Micromax A100,Micromax A90,Intex Aqua,Optimus L3,Optimus L7",3
123,223,Optimus L7,http://www.youtube.com/watch?v=Jc7l3toKKkw,"Micromax A110,Micromax A100,Micromax A90,Intex Aqua,Optimus L3,Optimus L5",3
124,224,Xperia U,http://www.youtube.com/watch?v=QkLZoSmURAw,,3
125,225,Xperia S,http://www.youtube.com/watch?v=KuSuDkKHgeA,,3
126,226,Blackberry P9981,http://www.youtube.com/watch?v=Lj52gDa6g3Q,,3
127,227,Blackberry Playbook,http://www.youtube.com/watch?v=9YA7UKO-mlA,,1
128,228,Blackberry Playbook,http://www.youtube.com/watch?v=dWU_rwLUBqI,,1
129,229,Xperia P,http://www.youtube.com/watch?v=Y7xVYsngsn0,,4
130,230,Xperia P,http://www.youtube.com/watch?v=gWtZFoSe0rI,,3
131,231,Galaxy Note 10.1,http://www.youtube.com/watch?v=AYqudcz-Yq4,,3
132,232,HTC One X,http://www.youtube.com/watch?v=fjYcD8i1bFk,,3
133,233,HTC One S,http://www.youtube.com/watch?v=ET574T6GbrQ,,3
134,234,MediaPad 10.1 ,http://www.youtube.com/watch?v=YVkWUMdgP94,,3
135,235,Nokia 808,http://www.youtube.com/watch?v=LaE5IhhPnD4,,3
136,236,Asha 202,http://www.youtube.com/watch?v=vWAqjCtmopE,"Asha 201,Asha 303,Asha 300,Asha 311,Galaxy Ace Duos,Omnia W,Lumia 510,Lumia 610",3
137,237,Asha 203,http://www.youtube.com/watch?v=vWAqjCtmopE,"Asha 201,Asha 303,Asha 300,Asha 311,Galaxy Ace Duos,Omnia W,Lumia 510,Lumia 610,Asha 202",3
138,238,Lumia 610,http://www.youtube.com/watch?v=p6lZ108LpJM,"Lumia 710,Lumia 620,Lumia 510,Lumia 920,Lumia 820,HTC 8X,8S,Omnia W,ATIV S",3
139,239,Asha 302,http://www.youtube.com/watch?v=iC24NJcGkbk,,3
140,240,Omnia W,http://www.youtube.com/watch?v=7Hq1c1G8cYE,,2
141,241,Aakash,http://www.youtube.com/watch?v=1Ds43EFwOcM,,2
142,242,Galaxy S2,http://www.youtube.com/watch?v=88_wTfKysg4,,1
143,243,Galaxy Nexus,http://www.youtube.com/watch?v=LQs0wYIa6pM,,2
144,244,Motorola Razr,http://www.youtube.com/watch?v=b8Bb_tQkbwE,,2
145,245,Asha 201,http://www.youtube.com/watch?v=HhEWZrAm1E8,"Asha 201,Asha 303,Asha 300,Asha 311,Galaxy Ace Duos,Omnia W,Lumia 510,Lumia 610",3
146,246,Asha 303,http://www.youtube.com/watch?v=lL5BkBKDizw,"Asha 201,Asha 303,Asha 300,Asha 311,Galaxy Ace Duos,Omnia W,Lumia 510,Lumia 610",3
147,247,Asha 300,http://www.youtube.com/watch?v=Nc9YLnz54fY,"Asha 201,Asha 303,Asha 300,Asha 311,Galaxy Ace Duos,Omnia W,Lumia 510,Lumia 610",3
148,248,Asha 200,http://www.youtube.com/watch?v=2Jl_0uGr8NA,"Asha 201,Asha 303,Asha 300,Asha 311,Galaxy Ace Duos,Omnia W,Lumia 510,Lumia 610",3
149,249,Lumia 710,http://www.youtube.com/watch?v=eVZ_9Y8haso,,3
150,250,iPhone 4S,http://www.youtube.com/watch?v=40vyQXDoQJg,,2
151,251,Galaxy Tab 750 ,http://www.youtube.com/watch?v=51b7SKWI9_w,,2
152,252,Vodafone Blue 555,http://www.youtube.com/watch?v=TKLx1YZ21ic,,2
153,253,Nokia 700,http://www.youtube.com/watch?v=GRRcnAEr-R0,,4
154,254,Nokia 700,http://www.youtube.com/watch?v=hIAPrt0fpFs,,3
155,255,Nokia 600,http://www.youtube.com/watch?v=TtA33TmAc2Q,,3
156,256,Bold 9900,http://www.youtube.com/watch?v=HcL9DkUK53I,,8
157,257,Bold 9900,http://www.youtube.com/watch?v=xw1G-RpHUvg,,2
158,258,HTC Flyer,http://www.youtube.com/watch?v=KDUvloxGg74,,7
159,259,HTC Flyer,http://www.youtube.com/watch?v=piB-qc43ezo,,1
160,260,Optimus 3D ,http://www.youtube.com/watch?v=lSFpaEVmXyo,,1
